person,task,complete
Suki,Overview of Embedded Systems and its Design challenges ,
Suki,Embedded processor technology and Hardware Design ,
Suki,Micro-controller architecture - 8051 ,
Suki,Micro-controller architecture - PIC. ,
Suki,Micro-controller architecture -ARM. ,
Suki,Microcontroller Memory interfacing ,
Suki,Analog to Digital Converter Interfacing ,
Suki,Digital to Analog Converter Interfacing ,
Suki,Timers and Watch dog timer Interfacing ,
Suki,Counters Interfacing ,
Suki,Encoder and Decoder Interfacing ,
Suki,UART Interfacing ,
Suki,Sensors and actuators interfacing ,
Suki,ATM ,
Suki,Handheld devices ,
Suki,Data Compressor ,
Suki,Image Capturing DevicesArchitecture and Requirements ,
Suki,Image Capturing Devices Architecture and Requirements ,
Suki,Challenges and Constraints of special purpose computing system ,
Suki,Evolution of embedded programming tools ,
Suki,Modelling programs ,
Suki,Code optimization ,
Suki,Code optimization ,
Suki,Code optimization ,
Suki,Logic analyzers ,
Suki,Programming environment ,
Suki,Classification of Real time system ,
Suki,Issues  and challenges in RTS ,
Suki,Real time scheduling EDF ,
Suki,Real time scheduling EMS ,
Suki,Real time scheduling HYBRID ,
Suki,eCOS ,
Suki,POSIX ,
Suki,Protothreads ,
Suki,Inter Integrated Circuits ,
Suki,Controller Area Network ,
Suki,Embedded Ethernet Controller ,
Suki,RS232 and Bluetooth ,
Suki,Zigbee and Wifi ,
Suki,Introduction to embedded system applications using case studies   Role in Agriculture ,
Suki,Automotive electronics and Consumer Electronics ,
Suki,Industrial controls ,
Suki,Medical  Electronics ,
Suki,Designing Blue Prints for Embedded Applications ,
Suki,Designing Blue Prints for Embedded Applications ,
Suj,Overview of Embedded Systems and its Design challenges ,
Suj,Embedded processor technology and Hardware Design ,
Suj,Micro-controller architecture - 8051 ,
Suj,Micro-controller architecture - PIC. ,
Suj,Micro-controller architecture -ARM. ,
Suj,Microcontroller Memory interfacing ,
Suj,Analog to Digital Converter Interfacing ,
Suj,Digital to Analog Converter Interfacing ,
Suj,Timers and Watch dog timer Interfacing ,
Suj,Counters Interfacing ,
Suj,Encoder and Decoder Interfacing ,
Suj,UART Interfacing ,
Suj,Sensors and actuators interfacing ,
Suj,ATM ,
Suj,Handheld devices ,
Suj,Data Compressor ,
Suj,Image Capturing DevicesArchitecture and Requirements ,
Suj,Image Capturing Devices Architecture and Requirements ,
Suj,Challenges and Constraints of special purpose computing system ,
Suj,Evolution of embedded programming tools ,
Suj,Modelling programs ,
Suj,Code optimization ,
Suj,Code optimization ,
Suj,Code optimization ,
Suj,Logic analyzers ,
Suj,Programming environment ,
Suj,Classification of Real time system ,
Suj,Issues  and challenges in RTS ,
Suj,Real time scheduling EDF ,
Suj,Real time scheduling EMS ,
Suj,Real time scheduling HYBRID ,
Suj,eCOS ,
Suj,POSIX ,
Suj,Protothreads ,
Suj,Inter Integrated Circuits ,
Suj,Controller Area Network ,
Suj,Embedded Ethernet Controller ,
Suj,RS232 and Bluetooth ,
Suj,Zigbee and Wifi ,
Suj,Introduction to embedded system applications using case studies   Role in Agriculture ,
Suj,Automotive electronics and Consumer Electronics ,
Suj,Industrial controls ,
Suj,Medical  Electronics ,
Suj,Designing Blue Prints for Embedded Applications ,
Suj,Designing Blue Prints for Embedded Applications ,
